Concept,MoodTag1,MoodTag2,Semantic1,Semantic2,Semantic3,Semantic4,Semantic5
hood,sad,scared,road,neighborhood,no_man's_land,no-go_area,no-parking_zone
abatable_nuisance,sad,scared,attractive_nuisance,irritant,plague,negative_stimulus,burden
abbe,surprising,admirable,abbot,bacon,islamist,pius_ix,swami
abbot,surprising,admirable,abbe,bacon,islamist,pius_ix,swami
abdominal_aortic_aneurysm,interesting,joyful,secondary_hypertension,high_blood_pressure,heart_disease,essential_hypertension,gallop_rhythm
abdominal_breathing,sad,scared,peeing,tremble,caressing,sob,hardening
aberration,surprising,admirable,good_weather,lode,phenomenon,foreplay,perversion
abiotrophy,sad,scared,weakening,detriment,damage,shimmer,spill
ablaut,joyful,interesting,sibilant,don,hakham,superlative,senorita
ableism,joyful,interesting,nepotism,male_chauvinism,ageism,administration,obedience
ablepharia,interesting,joyful,tetartanopia,tetralogy_of_fallot,fetal_distress,monochromacy,aberrance
abnegation,joyful,interesting,keeping,devotion,formality,reenlistment,honoring
abnormal_psychology,joyful,interesting,physiological_psychology,behaviorism,medical_science,acoustic,first-order_correlation
abocclusion,interesting,joyful,generalized_anxiety_disorder,condition,venereal_disease,disease,infectious_disease
abrasiveness,sad,scared,enjoyableness,acridity,unpalatability,disgustingness,immateriality
absconder,surprising,admirable,pervert,juda,safebreaker,snatcher,moll
absence_without_leave,sad,scared,salvation,mistreatment,insult,no,stupidity
absentee_rate,sad,scared,vacancy_rate,adult_intelligence,consonant,fir,accumulation
absenteeism,joyful,interesting,administration,obedience,disobedience,issus,legal_action
absentmindedness,interesting,joyful,curiosity,consciousness,mystery,concern,fret
absolver,surprising,admirable,god,count,duke,cavalier,superior
absorbate,joyful,interesting,sorbate,adsorbate,linen,waste,mineral
abstract_expressionism,joyful,interesting,fauvism,law_enforcement_agency,consortium,ruck,posse
abstractionism,sad,scared,apparition,illusion,prototype,screen_memory,phantom_limb
abuser,sad,scared,imposter,reprobate,butcher,criminal,adulteress
academic_freedom,sad,scared,ailment,heartlessness,panic,pang,dissatisfaction
academic_gown,sad,scared,vestment,costume,protective_garment,military_uniform,jewelled_headdress
academic_relation,joyful,interesting,nurse-patient_relation,doctor-patient_relation,medical_relation,partner_relation,bank-depositor_relation
acadia_national_park,surprising,admirable,monument,landscaping,day_camp,toxic_waste_dump,district
acanthocephalan,sad,scared,archiannelid,invertebrate,arachnid,booklouse,solenogaster
acanthocyte,sad,scared,target_cell,lymphoblast,spherocyte,granulocyte,siderocyte
acanthocytosis,sad,scared,agranulocytosis,acidemia,analbuminemia,alkalemia,banti's_disease
acanthopterygii,joyful,interesting,spirochaetales,octopoda,scorpionida,anseres,branchiura
acardia,sad,scared,aneuploidy,amastia,ectrodactyly,acephalia,deviated_nasal_septum
acatalectic,sad,scared,catalectic,hypercatalectic,epistle_to_the_hebrews,well,lyric
acataphasia,sad,scared,agnosia,cerebral_palsy,auditory_aphasia,motor_aphasia,paralysis_agitans
acathexia,sad,scared,ailment,pathological_state,disorder,mental_disorder,ill_health
acathexis,sad,scared,mania,ethical_motive,logorrhea,pyromania,agromania
accessory_during_the_fact,sad,scared,butcher,criminal,imposter,reprobate,adulteress
accommodation_endorser,sad,scared,master,slattern,feudal_lord,vagrant,gent
ace_of_spades,sad,scared,fir,minor_suit,tarot_card,post-it,pu
acentric_chromosome,sad,scared,xxy,prune,nut,raisin,scintilla
acephalia,sad,scared,aneuploidy,acardia,amastia,ectrodactyly,deviated_nasal_septum
achilles'_heel,joyful,interesting,enervation,jugular,touch,walk,tendency
achlorhydria,sad,scared,ailment,disorder,mental_disorder,pathological_state,ill_health
acholia,sad,scared,ailment,disorder,mental_disorder,pathological_state,ill_health
achondrite,sad,scared,prune,nut,raisin,wall_rock,scintilla
achromia,sad,scared,yellow,coal_black,achromatic_color,black,flatness
achylia,interesting,joyful,generalized_anxiety_disorder,condition,venereal_disease,disease,infectious_disease
acid_test,joyful,interesting,study,fad,music,cordon,virtu
acid_value,joyful,interesting,large_integer,yemeni_fils,tet,religious_festival,work_time
acidemia,sad,scared,agranulocytosis,acanthocytosis,analbuminemia,alkalemia,banti's_disease
acidophilus_milk,sad,scared,condiment,wort,homogenized_milk,raw_milk,mascarpone
acnidosporidia,joyful,interesting,polychaeta,tentaculata,turbellaria,copepoda,cestoda
acorea,sad,scared,aneuploidy,acardia,amastia,ectrodactyly,acephalia
acoustic,joyful,interesting,medical_science,psychopharmacology,phrenology,therapeutic,macrobiotics
acoustic_guitar,surprising,admirable,free-reed_instrument,colt,indicator,array,bait
acquired_immunity,interesting,joyful,active_immunity,passive_immunity,condition,drought,innocence
acquittal,joyful,interesting,legal_action,judgment_in_rem,affirmation,fatwa,judgment_on_the_merits
acroanesthesia,sad,scared,spinal_anesthesia,pudendal_block,cryoanesthesia,caudal_anesthesia,anesthesia
acrobatics,joyful,interesting,athletic_game,magic_trick,celebration,reel,antic
acrophobia,interesting,joyful,pyrophobia,simple_phobia,arachnophobia,phobophobia,phobia
acrylic,sad,scared,sackcloth,tarpaulin,stockinet,turkish_towel,ultrasuede
actinopod,surprising,admirable,heliozoan,rhizopod,bacteria,sporozoan,coccidium
active_agent,surprising,admirable,reducing_agent,medicine,balsam,rye_bread,herb
active_immunity,interesting,joyful,acquired_immunity,passive_immunity,condition,drought,innocence
actual_sin,joyful,interesting,arrogance,mortal_sin,lust,pride,evil
acupuncture,sad,scared,medical_care,treatment,struggle,war,risk
acute_brain_disorder,interesting,joyful,generalized_anxiety_disorder,condition,venereal_disease,disease,infectious_disease
acute_glaucoma,interesting,joyful,retinopathy,keratonosus,macular_edema,macular_degeneration,eye_disease
acute_hemorrhagic_encephalitis,joyful,interesting,paget's_disease,pancarditis,panencephalitis,attention_deficit_disorder,confirmation
acyclovir,sad,scared,protease_inhibitor,narcotic,hallucinogen,soft_drug,isoniazid
adder's_tongue,surprising,admirable,boston_fern,floating-moss,oleander_fern,alpine_lady_fern,bamboo_fern
addle-head,sad,scared,misfit,anomaly,master,slattern,feudal_lord
adenosine_monophosphate,joyful,interesting,myrrh,bitumen,linen,waste,mineral
aditi,sad,scared,hebe,paul,zu,jagannath,asura
