Concept,MoodTag1,MoodTag2,Semantic1,Semantic2,Semantic3,Semantic4,Semantic5
devaluation,joyful,interesting,dismissal,humiliation,degradation,orgasm,progress
dichotomization,joyful,interesting,dislodgment,simplification,dismissal,humiliation,degradation
dicumarol,surprising,admirable,balsam,bracer,cox-2_inhibitor,aloe,buffered_aspirin
dicynodont,surprising,admirable,hominid,fetus,primate,checkered_whiptail,nothosaur
digging,surprising,admirable,emergency_room,core,airship,drove,colt
dionysia,joyful,interesting,carnival,saturnalia,celebration,athletic_game,antic
dipodomys,joyful,interesting,pitymys,jaculus,cebuella,phascogale,zapus
direct_flight,sad,scared,march,break,drive,trek,motion
directed_study,sad,scared,adult_education,refresher_course,extracurricular_activity,struggle,protection
directed_verdict,sad,scared,compromise_verdict,special_verdict,quotient_verdict,false_verdict,due_process
dirty_war,sad,scared,cover,strike,indirect_fire,fourth_crusade,ambush
dislodgment,joyful,interesting,simplification,dichotomization,dismissal,humiliation,degradation
disobedience,interesting,joyful,issus,obedience,legal_action,activity,administration
disorganization,sad,scared,furor,motion,rock,march,wilt
disrupting_explosive,joyful,interesting,chemical_bomb,clostridium_perfringens,colt,array,bait
dogie,surprising,admirable,hominid,fetus,primate,hog,persian_lamb
dolce_far_niente,sad,scared,quiescence,bedrest,forbearance,salvation,putout
domestic_violence,sad,scared,aggression,motion,march,furor,wilt
dormer_window,surprising,admirable,emergency_room,core,airship,drove,colt
double_bed,surprising,admirable,chair_of_state,booth,crib,airship,drove
double_crochet,surprising,admirable,chain_stitch,classic,facsimile,coffee-table_book,cheesecake
double_dutch,sad,scared,weightlift,struggle,steal,treatment,job
double-blind_procedure,joyful,interesting,plastic_surgery,celebration,parlor_game,embrace,reordering
downshift,sad,scared,motion,march,furor,wilt,break
downspin,sad,scared,murder,slaughter,motion,march,furor
doxazosin,surprising,admirable,balsam,dicumarol,bracer,cox-2_inhibitor,aloe
doxorubicin,surprising,admirable,bacitracin,antineoplastic_antibiotic,antibiotic,demeclocycline_hydrochloride,balsam
dracunculidae,joyful,interesting,tortricidae,gelechiidae,gracilariidae,phyllidae,comatulidae
drainboard,surprising,admirable,centerboard,airship,drove,colt,chair_of_state
drake,sad,scared,wild_duck,bird,notornis,thick-billed_murre,tundra_swan
dramatization,joyful,interesting,puppetry,celebration,parlor_game,embrace,reordering
dress_rehearsal,joyful,interesting,training,discipline,celebration,parlor_game,embrace
dripstone,surprising,admirable,emergency_room,core,airship,drove,colt
dromaeosaur,surprising,admirable,nothosaur,armored_dinosaur,ankylosaur,edmontonia,hominid
drop-leaf,surprising,admirable,hominid,airship,bacteria,drove,colt
drop-leaf_table,surprising,admirable,booth,chair_of_state,crib,airship,drove
drove,surprising,admirable,club,colt,emergency_room,bait,airship
drumbeat,joyful,interesting,insistence,embrace,aid,mercy,admiration
duplicity,sad,scared,pretense,deception,trickery,mischief,misbehavior
durables,surprising,admirable,change,emergency_room,cube,colt,drove
dusky-footed_wood_rat,surprising,admirable,dusky-footed_woodrat,water_rat,hominid,primate,fetus
dusky-footed_woodrat,surprising,admirable,dusky-footed_wood_rat,water_rat,hominid,primate,fetus
dutch-elm_beetle,sad,scared,tumblebug,tiger_beetle,boll_weevil,blister_beetle,ground_beetle
eagle_ray,surprising,admirable,sawfish,stingray,butterfly_ray,hominid,fetus
earned_run,sad,scared,stunt,acrobatic_stunt,unearned_run,motion,march
eastern_dasyure,sad,scared,common_wallaby,tom,viper,monster,anapsid
eastern_lowland_gorilla,surprising,admirable,western_lowland_gorilla,hominid,primate,fetus,angwantibo
ecotourism,joyful,interesting,administration,disobedience,obedience,issus,legal_action
edible_snail,surprising,admirable,saddle_oyster,blood_clam,paper_nautilus,cephalopod,littleneck
edmontonia,surprising,admirable,nothosaur,dromaeosaur,armored_dinosaur,ankylosaur,hominid
effleurage,sad,scared,treatment,medical_care,struggle,job,war
egg-and-dart,surprising,admirable,cuspidation,arabesque,airship,drove,colt
elbowing,sad,scared,jostle,bronchospasm,depression,nudge,cardiospasm
electromyography,joyful,interesting,plastic_surgery,celebration,parlor_game,embrace,reordering
electrotherapy,joyful,interesting,desensitization_technique,implosion_therapy,reciprocal_inhibition,behavior_therapy,correction
eleutherodactylus,sad,scared,passer,plethodon,genus_dicamptodon,proteus,cryptobranchus
emendation,sad,scared,amendment,indemnification,murder,slaughter,mud_bath
emphasizing,joyful,interesting,dismissal,humiliation,degradation,orgasm,reverence
emplacement,surprising,admirable,cinder_track,airship,drove,colt,chair_of_state
emulation,sad,scared,struggle,protection,mischief,treatment,merrymaking
endamoeba,sad,scared,zygnema,genus_plasmodium,genus_babesia,haemoproteus,genus_arcella
endearment,joyful,interesting,favor,turn,dismissal,humiliation,degradation
engorgement,sad,scared,tremble,caressing,sob,scatophagy,nibble
enhancement,joyful,interesting,care,dismissal,humiliation,degradation,orgasm
entlebucher,surprising,admirable,great_pyrenees,vizsla,newfoundland,saluki,reynard
entomostraca,sad,scared,passer,chrysophyceae,metatheria,mammalia,cnidosporidia
entrapment,sad,scared,due_process,stand,name,insubordination,strife
equilibration,joyful,interesting,standardization,conventionalization,administration,obedience,disobedience
erinaceidae,joyful,interesting,bradypodidae,zapodidae,phyllostomidae,rhinolophidae,muroidea
escapade,sad,scared,merrymaking,steal,revel,bust,folk_dancing
etiolation,sad,scared,murder,slaughter,motion,march,furor
euarctos,sad,scared,passer,delphinus,melursus,thalarctos,otaria
euglenaceae,joyful,interesting,volvocaceae,tortricidae,gelechiidae,gracilariidae,phyllidae
euglenophyceae,joyful,interesting,polychaeta,tentaculata,sporozoa,acnidosporidia,asteroidea
euglenophyta,joyful,interesting,nematoda,tortricidae,gymnogyps,gracula,pitymys
eupnea,sad,scared,tremble,caressing,sob,artificial_respiration,panting
european_bittern,surprising,admirable,american_bittern,ibis,ortygan,common_brant_goose,phalarope
european_nuthatch,surprising,admirable,hominid,fetus,primate,rock_wren,piping_crow
european_sole,surprising,admirable,winter_flounder,lemon_sole,pacific_herring,atlantic_sailfish,spanish_grunt
eurylaimidae,sad,scared,raphidae,hydrobatidae,spheniscidae,turnicidae,bird_family
exacerbation,sad,scared,annoyance,mistreatment,atrocity,cruelty,maltreatment
excalibur,surprising,admirable,colt,array,bait,broadsword,backsword
exhibition_game,sad,scared,twin_bill,salvation,putout,redemption,struggle
extemporization,sad,scared,merrymaking,steal,revel,bust,folk_dancing
extracapsular_surgery,sad,scared,laser-assisted_in_situ_keratomileusis,cyclodestructive_surgery,laser-assisted_subepithelial_keratomileusis,pneumonectomy,minor_surgery
eye-beaming,joyful,interesting,look,peek,sensing,celebration,parlor_game
eyeful,joyful,interesting,look,peek,sensing,celebration,parlor_game
eyeliner,surprising,admirable,airship,drove,colt,chair_of_state,array
facsimile,surprising,admirable,cheesecake,diagram,classic,double_crochet,chain_stitch
fair_hearing,sad,scared,due_process,stand,name,insubordination,strife
fairy_bluebird,surprising,admirable,hominid,fetus,primate,rock_wren,piping_crow
fait_accompli,joyful,interesting,success,passing,advent,feat,hit
false_imprisonment,sad,scared,damper,struggle,protection,mischief,treatment
false_scorpion,sad,scared,arachnid,invertebrate,tarantula,itch_mite,harvest_mite
false_verdict,sad,scared,compromise_verdict,directed_verdict,special_verdict,quotient_verdict,due_process
family_therapy,joyful,interesting,desensitization_technique,implosion_therapy,reciprocal_inhibition,behavior_therapy,correction
fartlek,sad,scared,struggle,protection,mischief,treatment,merrymaking
fatherhood,joyful,interesting,trade,learned_profession,law,profession,celebration
fatwa,joyful,interesting,legal_action,judgment_in_rem,judgment_on_the_merits,general_verdict,affirmation
feeder,surprising,admirable,hominid,fetus,primate,great_pyrenees,vizsla
fenusa,joyful,interesting,ctenocephalus,dermacentor,megachile,vanessa,menopon
fibbing,joyful,interesting,appearance,dishonesty,mortal_sin,evil,prostitution
fiduciary_duty,joyful,interesting,legal_duty,obedience,administration,disobedience,issus
filoviridae,sad,scared,passer,belemnitidae,raphidae,hydrobatidae,bombyliidae
financial_audit,joyful,interesting,action,press,enterprise,labor,venture
fine-tooth_comb,joyful,interesting,investigation,keratoscopy,checkup,testing,collation
fire_sale,sad,scared,salvation,putout,redemption,struggle,protection
first_aid,joyful,interesting,action,press,enterprise,labor,venture
fish_louse,surprising,admirable,whale_louse,tropical_prawn,tadpole_shrimp,stomatopod,amphipod
fistularia,sad,scared,petromyzon,genus_chimaera,gasterosteus,galeocerdo,sphyrna
flea_beetle,surprising,admirable,stag_beetle,hawkmoth,holometabola,pale_chrysanthemum_aphid,anglewing
flit,sad,scared,motion,furor,rock,march,wilt
fluke,surprising,admirable,flatworm,taenia,planarian,tapeworm,fish_louse
flutter_kick,sad,scared,thrash,motion,furor,rock,march
fly-fishing,joyful,interesting,athletic_game,celebration,antic,reel,magic_trick
flying_colors,joyful,interesting,success,passing,hit,advent,feat
follow-through,joyful,interesting,orgasm,dismissal,humiliation,degradation,care
fool's_errand,sad,scared,mission_impossible,struggle,treatment,job,medical_care
footwork,joyful,interesting,dismissal,humiliation,degradation,orgasm,reverence
forbearance,sad,scared,quiescence,bedrest,dolce_far_niente,salvation,putout
forced_feeding,sad,scared,schedule_feeding,infant_feeding,spoonfeeding,overfeeding,struggle
forced_landing,sad,scared,crash_landing,ground-controlled_approach,intrusion,motion,march
formicarius,sad,scared,passer,centrocercus,pterocles,apus,genus_trogon
fourth_crusade,sad,scared,second_crusade,seventh_crusade,cover,strike,indirect_fire
frame-up,sad,scared,sophistication,mischief,misbehavior,pretense,fall
fraud_in_law,joyful,interesting,constructive_fraud,sting_operation,barratry,prostitution,mortal_sin
freudian_slip,joyful,interesting,bull,failure,breach_of_trust,breach_of_contract,breach_of_the_covenant_of_warranty
fucoid,sad,scared,rockweed,serrated_wrack,alga,arame,tang
galeocerdo,sad,scared,petromyzon,genus_chimaera,gasterosteus,sphyrna,mobula
gall_midge,sad,scared,hessian_fly,arachnid,invertebrate,mediterranean_fruit_fly,anopheline
gallfly,sad,scared,arachnid,invertebrate,tumblebug,tiger_beetle,hessian_fly
galvanization,joyful,interesting,inspiration,titillation,dismissal,humiliation,degradation
ganoidei,joyful,interesting,acanthopterygii,spirochaetales,cydippida,octopoda,scorpionida
garden_snail,sad,scared,chiton,solenogaster,neritina,limpet,octopod
gasterosteus,sad,scared,petromyzon,genus_chimaera,galeocerdo,sphyrna,mobula
gastronomy,joyful,interesting,art,reordering,embodiment,carving,celebration
gavialidae,joyful,interesting,crocodylidae,lanthanotidae,tortricidae,gelechiidae,gracilariidae
gazella_subgutturosa,surprising,admirable,harnessed_antelope,hominid,primate,fetus,merino
gelechiidae,joyful,interesting,tortricidae,gracilariidae,phyllidae,megachilidae,chrysomelidae
gender_role,sad,scared,struggle,protection,mischief,treatment,merrymaking
general_verdict,joyful,interesting,legal_action,judgment_in_rem,judgment_on_the_merits,affirmation,fatwa
genetta,joyful,interesting,pitymys,jaculus,cebuella,phascogale,zapus
genital_torture,sad,scared,burning,mistreatment,atrocity,cruelty,maltreatment
genus_actinomyces,sad,scared,micrococcus,genus_lactobacillus,xanthomonas,genus_mycoplasma,bacteroides
genus_arcella,sad,scared,zygnema,endamoeba,genus_plasmodium,genus_babesia,haemoproteus
genus_babesia,sad,scared,zygnema,endamoeba,genus_plasmodium,haemoproteus,genus_arcella
genus_borrelia,joyful,interesting,genus_mycobacterium,genus_leptospira,nitrobacteriaceae,gymnogyps,gracula
genus_cabassous,joyful,interesting,pitymys,jaculus,cebuella,phascogale,zapus
genus_chimaera,sad,scared,petromyzon,gasterosteus,galeocerdo,sphyrna,mobula
genus_chlamydia,sad,scared,micrococcus,genus_lactobacillus,xanthomonas,genus_mycoplasma,bacteroides
genus_dicamptodon,sad,scared,passer,eleutherodactylus,plethodon,proteus,cryptobranchus
genus_echinococcus,joyful,interesting,gymnogyps,gracula,pitymys,phyllorhynchus,jaculus
genus_fucus,sad,scared,zygnema,endamoeba,genus_plasmodium,genus_babesia,haemoproteus
genus_lactobacillus,sad,scared,micrococcus,xanthomonas,genus_mycoplasma,bacteroides,genus_actinomyces
genus_leptospira,joyful,interesting,genus_borrelia,genus_mycobacterium,nitrobacteriaceae,gymnogyps,gracula
genus_mycobacterium,joyful,interesting,genus_borrelia,genus_leptospira,nitrobacteriaceae,gymnogyps,gracula
genus_mycoplasma,sad,scared,micrococcus,genus_lactobacillus,xanthomonas,bacteroides,genus_actinomyces
genus_nautilus,sad,scared,passer,ostrea,sepia,genus_spirula,argonauta
genus_rickettsia,sad,scared,micrococcus,genus_lactobacillus,xanthomonas,genus_mycoplasma,bacteroides
genus_spirula,sad,scared,passer,ostrea,sepia,argonauta,aplysia
genus_squilla,sad,scared,passer,anthonomus,cuterebra,anopheles,latrodectus
genus_streptomyces,sad,scared,micrococcus,genus_lactobacillus,xanthomonas,genus_mycoplasma,bacteroides
genus_treponema,sad,scared,micrococcus,genus_lactobacillus,xanthomonas,genus_mycoplasma,bacteroides
genus_trogon,sad,scared,passer,centrocercus,pterocles,apus,porzana
genus_vireo,sad,scared,passer,centrocercus,pterocles,apus,genus_trogon
geotropism,surprising,admirable,neurotropism,meteortropism,reaction,pleasure,foreplay
germ_warfare,sad,scared,stand,due_process,name,insubordination,strife
gerrhonotus,sad,scared,passer,kinosternon,trionyx,rhynchoelaps,crocodylus
gila_monster,sad,scared,african_monitor,viper,snake,anapsid,tom
glorification,joyful,interesting,admiration,adoration,embrace,aid,mercy
going-over,joyful,interesting,investigation,keratoscopy,checkup,testing,collation
golden_parachute,joyful,interesting,poison_pill,dismissal,humiliation,degradation,orgasm
golden_plover,surprising,admirable,ibis,ortygan,common_brant_goose,phalarope,wilson's_phalarope
goose_step,joyful,interesting,progress,wandering,dismissal,humiliation,degradation
gorgonian,surprising,admirable,planula,scyphozoan,coral,jellyfish,mushroom_coral
gracilariidae,joyful,interesting,tortricidae,gelechiidae,phyllidae,megachilidae,chrysomelidae
gracula,joyful,interesting,gymnogyps,buteo,pedionomus,phalaropus,pluvialis
grand_tour,joyful,interesting,wandering,progress,dismissal,humiliation,degradation
great_care,joyful,interesting,primping,t'ai_chi,inoculation,patrol,celebration
great_pyrenees,surprising,admirable,vizsla,newfoundland,saluki,entlebucher,reynard
greenbottle,surprising,admirable,sheep_botfly,gnat,hawkmoth,holometabola,pale_chrysanthemum_aphid
ground_beetle,sad,scared,tumblebug,tiger_beetle,boll_weevil,blister_beetle,dutch-elm_beetle
ground_roller,surprising,admirable,hominid,fetus,primate,rock_wren,ibis
ground-controlled_approach,sad,scared,crash_landing,forced_landing,intrusion,motion,march
gruidae,sad,scared,raphidae,hydrobatidae,eurylaimidae,spheniscidae,turnicidae
gymnogyps,joyful,interesting,gracula,buteo,pedionomus,phalaropus,pluvialis
habitual_abortion,joyful,interesting,dismissal,orgasm,humiliation,degradation,care
habitude,interesting,joyful,practice,custom,habit,outrage,activity
haemoproteidae,sad,scared,plasmodiidae,passer,belemnitidae,raphidae,hydrobatidae
haemoproteus,sad,scared,zygnema,endamoeba,genus_plasmodium,genus_babesia,genus_arcella
haemulidae,joyful,interesting,myxinidae,squalidae,belonidae,tortricidae,gelechiidae
halophile,sad,scared,alga,acidophilus,listeria_monocytogenes,mycobacteria,leprosy_bacillus
hamming,sad,scared,folk_dancing,parody,crooning,modern_ballet,cantillation
haplosporidian,sad,scared,piroplasm,alga,testacean,arcella,zoomastigote
hard-shell_crab,sad,scared,brachyuran,soft-shell_crab,copepod,arachnid,invertebrate
harmonization,joyful,interesting,coloratura,reel,magic_trick,celebration,athletic_game
harnessed_antelope,surprising,admirable,gazella_subgutturosa,hominid,primate,fetus,merino
harvest_mite,sad,scared,arachnid,invertebrate,false_scorpion,tarantula,itch_mite
havoc,sad,scared,furor,motion,rock,march,wilt
hawkmoth,surprising,admirable,anglewing,underwing,arctiid,red_underwing,holometabola
haymaker,sad,scared,motion,furor,rock,march,wilt
haymaking,joyful,interesting,success,passing,advent,feat,hit
health_care,sad,scared,medicaid,salvation,putout,redemption,struggle
healthcare_delivery,joyful,interesting,suckling,celebration,parlor_game,embrace,reordering
heath_hen,sad,scared,bird,tom,viper,monster,anapsid
heavy_lifting,sad,scared,struggle,treatment,job,medical_care,war
heliobacter_pylori,sad,scared,passer,chrysophyceae,petromyzon,ostrea,belemnitidae
heliozoan,surprising,admirable,actinopod,rhizopod,bacteria,sporozoan,flagellate
hemorrhoidectomy,joyful,interesting,plastic_surgery,enucleation,uranoplasty,radial_keratotomy,lobotomy
hepatitis_a_virus,sad,scared,coxsackievirus,polyoma,reovirus,herpes,papovavirus
herbal_medicine,joyful,interesting,preventive_medicine,learned_profession,law,profession,trade
herpes_simplex_1,sad,scared,coxsackievirus,polyoma,reovirus,herpes,papovavirus
herpes_simplex_2,sad,scared,coxsackievirus,polyoma,reovirus,herpes,papovavirus
herpes_varicella_zoster,sad,scared,coxsackievirus,polyoma,reovirus,herpes,papovavirus
herpes_zoster,sad,scared,coxsackievirus,polyoma,reovirus,herpes,papovavirus
hessian_fly,sad,scared,gall_midge,arachnid,invertebrate,mediterranean_fruit_fly,anopheline
heteroploid,sad,scared,tom,plant,viper,monster,anapsid
heterosexuality,surprising,admirable,pleasure,foreplay,perversion,feel,reaction
heterostraci,sad,scared,anoplura,mallophaga,anaspida,chelonethida,nothosauria
hexamita,joyful,interesting,gymnogyps,gracula,pitymys,phyllorhynchus,jaculus
high_mass,joyful,interesting,ceremony,religious_ceremony,celebration,parlor_game,embrace
high_technology,joyful,interesting,magnetic_levitation,learned_profession,law,profession,trade
high-low,joyful,interesting,parlor_game,athletic_game,celebration,embrace,reordering
highland_fling,joyful,interesting,reel,celebration,athletic_game,antic,magic_trick
hippobosca,sad,scared,passer,anthonomus,cuterebra,anopheles,latrodectus
hiring_freeze,joyful,interesting,price_freeze,wage_freeze,freeze,celebration,parlor_game
hirudinea,joyful,interesting,polychaeta,tentaculata,sporozoa,acnidosporidia,asteroidea
hirudo,sad,scared,tylenchus,passer,petromyzon,ostrea,centrocercus
hog_sucker,surprising,admirable,atlantic_cod,pacific_herring,hominid,fetus,primate
holometabola,surprising,admirable,hawkmoth,pale_chrysanthemum_aphid,anglewing,flea_beetle,sheep_botfly
hominoid,surprising,admirable,aegyptopithecus,hominid,primate,fetus,angwantibo
homo_soloensis,surprising,admirable,hominid,primate,fetus,angwantibo,potto
hoot_owl,surprising,admirable,screech_owl,laughing_owl,hominid,fetus,primate
hormone_replacement_therapy,joyful,interesting,desensitization_technique,implosion_therapy,reciprocal_inhibition,behavior_therapy,correction
horned_chameleon,surprising,admirable,checkered_whiptail,hominid,fetus,primate,nothosaur
horned_puffin,surprising,admirable,ibis,ortygan,common_brant_goose,phalarope,wilson's_phalarope
horse_trade,sad,scared,stand,due_process,name,insubordination,strife
horseshoe_bat,surprising,admirable,hominid,primate,fetus,merino,cashmere_goat
hostile_fire,joyful,interesting,friendly_fire,tactical_intelligence,celebration,parlor_game,embrace
hostility,sad,scared,stand,due_process,name,insubordination,strife
hot_seat,sad,scared,struggle,protection,mischief,treatment,merrymaking
human_immunodeficiency_virus,surprising,admirable,junin_virus,machupo_virus,bacteria,rhizopod,tumor_virus
human_t-cell_leukemia_virus-1,sad,scared,coxsackievirus,polyoma,reovirus,herpes,papovavirus
hydrobates,sad,scared,passer,centrocercus,pterocles,apus,genus_trogon
hydrobatidae,sad,scared,raphidae,eurylaimidae,spheniscidae,turnicidae,bird_family
hydromys,joyful,interesting,pitymys,jaculus,cebuella,phascogale,zapus
hyperemesis,sad,scared,hyperemesis_gravidarum,tremble,caressing,sob,defecation_reflex
hyperemesis_gravidarum,sad,scared,hyperemesis,tremble,caressing,sob,defecation_reflex
hypnotherapy,sad,scared,chrysotherapy,insulin_shock,megavitamin_therapy,psychotherapy,occupational_therapy
idolization,sad,scared,bardolatry,struggle,protection,mischief,treatment
imperialism,sad,scared,struggle,protection,mischief,treatment,merrymaking
impingement,joyful,interesting,manipulation,enticement,cross-pollination,seduction,celebration
improvisation,sad,scared,expedient,pis_aller,salvation,putout,redemption
in-fighting,joyful,interesting,athletic_game,celebration,antic,reel,magic_trick
incline_bench_press,joyful,interesting,press,labor,action,enterprise,venture
incomplete_abortion,sad,scared,murder,slaughter,motion,march,furor
incubation,joyful,interesting,action,press,enterprise,labor,venture
incurring,sad,scared,viatication,misappropriation,catching,salvation,putout
indecent_exposure,sad,scared,sedition,perjury,robbery,fall,crime
indirect_fire,sad,scared,cover,strike,cannonade,deep_supporting_fire,ambush
indirection,sad,scared,pretense,deception,trickery,mischief,misbehavior
industrial_arts,joyful,interesting,education,continuing_education,celebration,parlor_game,embrace
infanticide,sad,scared,murder,slaughter,motion,march,furor
infantilism,joyful,interesting,dishonesty,mortal_sin,evil,appearance,prostitution
inoculation,joyful,interesting,primping,t'ai_chi,great_care,patrol,celebration
inquest,sad,scared,struggle,treatment,job,medical_care,war
insectivora,sad,scared,anoplura,heterostraci,mallophaga,anaspida,chelonethida
inside_job,joyful,interesting,mortal_sin,evil,prostitution,pride,lust
insider_trading,sad,scared,stand,due_process,name,insubordination,strife
insubordination,angry,sad,due_process,name,vengeance,retaliation,strife
intelligence_test,joyful,interesting,test,celebration,parlor_game,embrace,reordering
intemperance,interesting,joyful,change_of_state,activity,success,dismissal,reverence
international_terrorism,sad,scared,name,corporal_punishment,stand,due_process,insubordination
intervention,sad,scared,due_process,stand,name,insubordination,strife
intestinal_flora,surprising,admirable,bacteria,rhizopod,protist,spirochete,junin_virus
